english,igala_primary,igala_variations,contributor,region,verified
blue,odo,,Ramat,Kogi East Agbale,yes
green,odufa,"omí eñmi",Ramat,Kogi East Agbale,yes
cow,okunọ,"okwunọ,okwùno",Ramat,Kogi East Agbale,yes
goat,ewo,"ewọ",Ramat,Kogi East Agbale,yes
chicken,ajuwe,"ejuwẹ,ajùwe",Ramat,Kogi East Agbale,yes
fish,ẹja,"èjá",Ramat,Kogi East Agbale,yes
snake,ejo,"èjo",Ramat,Kogi East Agbale,yes
bird,ẹwẹ̀,"èwè,ẹwẹ",Ramat,Kogi East Agbale,yes
elephant,adagba,"adagbà",Ramat,Kogi East Agbale,yes
lion,idu,"idú",Ramat,Kogi East Agbale,yes
happy,ẹdèbo,"edẹbọ,edó èbo",Ramat,Kogi East Agbale,yes
sad,ẹdopkabiẹ̀,"edẹkpabiẹ,edó èkpábíè",Ramat,Kogi East Agbale,yes
angry,èwẹdọ,"edẹfuulu,uwèdo",Ramat,Kogi East Agbale,yes
afraid,opko,"okpo,ókpó",Ramat,Kogi East Agbale,yes
tired,ugbogwu,"ufowọla,uhia",Ramat,Kogi East Agbale,yes
hungry,ebi,"èbí",Ramat,Kogi East Agbale,yes
thirsty,olugbẹ,"alugbẹ",Ramat,Kogi East Agbale,yes
